,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (%)
5494,matelica,it,43.0,13,48.0,93.0,88.0,3.0
5061,qinhuangdao,cn,39.0,120,49.0,73.0,64.0,9.0
5415,hovd,mn,42.0,101,37.0,93.0,90.0,18.0
2245,agnibilekrou,ci,7.0,-3,71.0,95.0,12.0,4.0
851,kasane,bw,-18.0,25,69.0,88.0,0.0,4.0
2375,yaring,th,8.0,102,84.0,70.0,20.0,9.0
4453,guozhen,cn,34.0,107,64.0,68.0,0.0,4.0
6497,ivnya,ru,51.0,36,32.0,94.0,90.0,6.0
5412,tokmak,kg,42.0,75,36.0,95.0,80.0,10.0
7399,palana,ru,58.0,160,22.0,78.0,88.0,5.0
822,mollendo,pe,-18.0,-73,51.0,87.0,24.0,1.0
2195,ginir,et,6.0,41,49.0,80.0,64.0,2.0
1366,sumbawanga,tz,-8.0,32,62.0,67.0,40.0,6.0
5397,shorapani,ge,42.0,43,46.0,93.0,75.0,3.0
2422,suleja,ng,9.0,7,66.0,68.0,0.0,3.0
4299,texarkana,us,33.0,-94,37.0,59.0,1.0,12.0
7486,talaya,ru,59.0,154,12.0,80.0,64.0,7.0
1915,puerto rico,co,2.0,-75,72.0,60.0,0.0,5.0
3342,nautla,mx,21.0,-96,78.0,98.0,0.0,7.0
5213,streator,us,41.0,-89,33.0,99.0,90.0,35.0
5890,dmytrivka,ua,46.0,29,32.0,92.0,88.0,2.0
3309,minbu,mm,20.0,94,75.0,80.0,0.0,5.0
1835,booue,ga,0.0,12,71.0,100.0,92.0,2.0
3303,junagarh,in,20.0,83,69.0,50.0,0.0,3.0
7255,urzhum,ru,57.0,50,22.0,92.0,80.0,9.0
6312,peachland,ca,50.0,-120,40.0,70.0,90.0,12.0
5489,bordighera,it,43.0,8,43.0,87.0,0.0,6.0
2470,puntarenas,cr,10.0,-85,69.0,88.0,0.0,4.0
5249,sabaudia,it,41.0,13,54.0,87.0,40.0,13.0
930,mahina,pf,-16.0,-149,76.0,42.0,88.0,9.0
475,werda,bw,-26.0,24,38.0,93.0,90.0,11.0
2165,dunkwa,gh,6.0,-2,70.0,94.0,12.0,3.0
823,tacna,pe,-18.0,-70,67.0,72.0,75.0,4.0
1390,contamana,pe,-7.0,-75,74.0,96.0,68.0,1.0
2916,gualaco,hn,15.0,-86,77.0,78.0,40.0,2.0
853,sinazongwe,zm,-18.0,28,73.0,92.0,32.0,5.0
550,capao bonito,br,-24.0,-48,59.0,89.0,0.0,11.0
2513,mubi,ng,10.0,13,60.0,51.0,0.0,4.0
294,sawtell,au,-32.0,160,75.0,57.0,0.0,14.0
7865,deputatskiy,ru,66.0,139,-19.0,54.0,36.0,2.0
6664,turochak,ru,52.0,87,16.0,64.0,76.0,5.0
117,wonthaggi,au,-39.0,146,65.0,70.0,68.0,3.0
7713,ornskoldsvik,se,63.0,19,20.0,79.0,0.0,8.0
6550,kalga,ru,51.0,119,13.0,57.0,68.0,15.0
2124,sigli,id,5.0,96,79.0,100.0,0.0,2.0
4042,edgewater,us,30.0,-79,62.0,93.0,1.0,2.0
725,nova serrana,br,-20.0,-45,65.0,98.0,92.0,4.0
2705,aden,ye,12.0,45,78.0,100.0,80.0,11.0
7296,novobiryusinskiy,ru,57.0,98,13.0,58.0,56.0,9.0
7174,izhmorskiy,ru,56.0,87,9.0,77.0,56.0,11.0
6292,nenjiang,cn,49.0,125,32.0,63.0,12.0,18.0
320,elliot,za,-31.0,28,47.0,66.0,8.0,0.0
3026,goundam,ml,16.0,-5,67.0,49.0,36.0,13.0
4239,shush,ir,32.0,48,12.0,78.0,56.0,14.0
3760,hojai,in,26.0,93,69.0,86.0,0.0,1.0
3414,miramar,mx,22.0,-97,69.0,88.0,0.0,4.0
373,kimberley,za,-29.0,25,69.0,52.0,0.0,12.0
4603,espanola,us,36.0,-106,33.0,95.0,88.0,5.0
5685,mombetsu,jp,44.0,143,41.0,100.0,75.0,11.0
1024,antsohihy,mg,-15.0,48,70.0,90.0,20.0,5.0
6577,lanigan,ca,52.0,-105,9.0,87.0,88.0,6.0
7753,sisimiut,gl,64.0,-59,16.0,87.0,44.0,1.0
6369,lanivtsi,ua,50.0,26,33.0,100.0,92.0,9.0
687,omaruru,na,-21.0,16,70.0,50.0,32.0,2.0
7396,serebryanyy bor,ru,58.0,124,-24.0,65.0,32.0,1.0
6386,danilovka,ru,50.0,44,18.0,88.0,80.0,6.0
6427,cache creek,ca,51.0,-121,40.0,86.0,90.0,11.0
4185,shanghai,cn,31.0,122,68.0,68.0,75.0,6.0
637,dekar,bw,-22.0,22,65.0,71.0,56.0,0.0
7473,nizhnevartovsk,ru,59.0,76,-20.0,75.0,40.0,2.0
297,coquimbo,cl,-31.0,-77,57.0,87.0,0.0,3.0
2101,nanga eboko,cm,5.0,13,67.0,97.0,56.0,3.0
369,morro da fumaca,br,-29.0,-49,63.0,100.0,44.0,5.0
3726,abnub,eg,26.0,26,55.0,76.0,0.0,9.0
4496,pampa,us,35.0,-101,32.0,72.0,1.0,9.0
5613,millau,fr,44.0,3,39.0,93.0,90.0,4.0
5699,powell,us,45.0,-109,48.0,87.0,75.0,9.0
6118,matranovak,hu,48.0,20,43.0,98.0,92.0,8.0
768,colquechaca,bo,-19.0,-66,47.0,88.0,64.0,1.0
6140,nizhniy chir,ru,48.0,43,15.0,100.0,64.0,6.0
2079,zipaquira,co,5.0,-74,55.0,82.0,40.0,2.0
132,hamilton,au,-38.0,142,71.0,64.0,75.0,16.0
1878,abonnema,ng,1.0,5,74.0,95.0,32.0,5.0
3724,adeje,es,26.0,-18,76.0,93.0,0.0,8.0
6618,pinsk,by,52.0,26,27.0,96.0,88.0,7.0
3594,darlawn,in,24.0,93,65.0,76.0,0.0,2.0
3676,myitkyina,mm,25.0,97,68.0,78.0,0.0,2.0
5355,real,pt,42.0,-8,86.0,55.0,20.0,5.0
6311,merritt,ca,50.0,-121,40.0,80.0,75.0,2.0
276,palmares do sul,br,-32.0,-50,62.0,82.0,0.0,8.0
5275,gorele,tr,41.0,39,50.0,71.0,40.0,6.0
5949,great falls,us,47.0,-111,26.0,82.0,20.0,6.0
531,isangel,vu,-25.0,176,80.0,94.0,12.0,14.0
4350,xining,cn,33.0,98,21.0,58.0,24.0,3.0
1371,kisanga,tz,-8.0,38,63.0,92.0,92.0,5.0
2322,conakry,gn,8.0,-16,83.0,100.0,20.0,9.0
457,taltal,cl,-26.0,-79,54.0,100.0,8.0,1.0
3995,sonipat,in,29.0,77,58.0,79.0,0.0,2.0
4450,tral,in,34.0,75,28.0,66.0,8.0,3.0
272,paysandu,uy,-32.0,-58,65.0,45.0,56.0,9.0
5648,kamennomostskiy,ru,44.0,40,23.0,71.0,0.0,3.0
6058,wenatchee,us,48.0,-121,35.0,75.0,40.0,1.0
5696,dillon,us,45.0,-113,24.0,68.0,1.0,13.0
7735,koslan,ru,63.0,49,23.0,89.0,88.0,4.0
2929,basse-pointe,mq,15.0,-61,78.0,78.0,20.0,9.0
3693,mulege,mx,26.0,-113,57.0,100.0,0.0,2.0
1982,nola,cf,3.0,16,68.0,100.0,88.0,2.0
4813,zhangye,cn,37.0,99,30.0,62.0,8.0,6.0
26,cidreira,br,-63.0,-18,56.0,91.0,0.0,4.0
7248,puchezh,ru,57.0,43,23.0,99.0,76.0,10.0
4672,karaj,ir,36.0,51,45.0,93.0,75.0,18.0
234,cowra,au,-34.0,149,69.0,63.0,0.0,5.0
1065,kasempa,zm,-14.0,26,62.0,93.0,48.0,3.0
955,taiobeiras,br,-16.0,-42,62.0,86.0,92.0,4.0
3964,cape canaveral,us,29.0,-79,63.0,93.0,1.0,5.0
3910,pawayan,in,28.0,80,63.0,89.0,0.0,3.0
4872,colares,pt,38.0,-14,56.0,71.0,20.0,9.0
2548,panalingaan,ph,10.0,116,82.0,95.0,32.0,2.0
1562,metro,id,-5.0,105,84.0,87.0,24.0,4.0
3344,celestun,mx,21.0,-92,79.0,94.0,0.0,13.0
771,abapo,bo,-19.0,-63,66.0,94.0,56.0,1.0
6320,swift current,ca,50.0,-108,19.0,92.0,90.0,9.0
6858,thompson,ca,54.0,-99,1.0,77.0,90.0,6.0
6481,wloszczowa,pl,51.0,20,32.0,98.0,88.0,8.0
6677,istok,ru,52.0,106,27.0,94.0,80.0,7.0
568,farafangana,mg,-24.0,50,76.0,100.0,80.0,11.0
6076,chapleau,ca,48.0,-84,21.0,92.0,90.0,3.0
3625,venustiano carranza,mx,25.0,-103,57.0,45.0,5.0,2.0
4244,meybod,ir,32.0,53,44.0,100.0,90.0,9.0
4175,wanxian,cn,31.0,108,54.0,78.0,0.0,2.0
3698,guadalupe y calvo,mx,26.0,-107,44.0,90.0,80.0,1.0
7338,mammaste,ee,58.0,27,26.0,100.0,90.0,6.0
2222,los algarrobos,pa,7.0,-82,89.0,33.0,75.0,3.0
4989,ericeira,pt,39.0,-10,56.0,71.0,20.0,9.0
3276,tulum,mx,20.0,-87,73.0,94.0,40.0,3.0
1877,yenagoa,ng,1.0,3,75.0,94.0,0.0,8.0
5938,hoquiam,us,47.0,-125,45.0,92.0,75.0,6.0
4429,balad,iq,34.0,44,83.0,100.0,44.0,4.0
2339,save,bj,8.0,3,74.0,77.0,0.0,6.0
7011,pastavy,by,55.0,27,22.0,78.0,76.0,6.0
2855,tera,ne,14.0,1,59.0,72.0,40.0,4.0
7718,keuruu,fi,63.0,25,15.0,100.0,0.0,3.0
3000,paredon,mx,16.0,-94,48.0,96.0,100.0,1.0
2689,bama,ng,12.0,14,65.0,76.0,0.0,3.0
4913,siirt,tr,38.0,42,40.0,100.0,64.0,2.0
5733,bermeo,es,45.0,-3,41.0,100.0,75.0,12.0
6971,terrace,ca,55.0,-129,39.0,100.0,90.0,1.0
4905,aksaray,tr,38.0,34,32.0,71.0,0.0,12.0
7914,sjovegan,no,69.0,18,26.0,92.0,76.0,16.0
4066,harnai,pk,30.0,68,45.0,45.0,0.0,2.0
7629,berdigestyakh,ru,61.0,125,-27.0,84.0,44.0,3.0
1417,inyonga,tz,-7.0,32,63.0,84.0,56.0,5.0
913,marovoay,mg,-17.0,46,77.0,69.0,20.0,4.0
4225,nador,ma,32.0,-2,64.0,63.0,0.0,2.0
7057,zdvinsk,ru,55.0,79,20.0,88.0,80.0,12.0
4957,redlands,us,39.0,-109,64.0,25.0,5.0,5.0
3215,montego bay,jm,19.0,-78,80.0,83.0,40.0,4.0
4213,laurel,us,32.0,-89,30.0,58.0,20.0,8.0
5924,tailai,cn,46.0,124,42.0,38.0,80.0,23.0
3255,jieshi,cn,19.0,116,64.0,100.0,100.0,12.0
6510,dergachi,ru,51.0,49,18.0,88.0,88.0,3.0
4994,ciudad real,es,39.0,-4,44.0,88.0,0.0,16.0
896,itanhem,br,-17.0,-40,67.0,97.0,92.0,2.0
5416,mujiayingzi,cn,42.0,118,44.0,36.0,68.0,13.0
6812,beya,ru,53.0,91,12.0,73.0,56.0,7.0
2680,diapaga,bf,12.0,1,62.0,44.0,0.0,5.0
1921,bubaque,gw,2.0,-24,75.0,64.0,48.0,8.0
1105,boquira,br,-13.0,-43,68.0,96.0,100.0,2.0
5943,moses lake,us,47.0,-119,35.0,88.0,1.0,6.0
3743,tonk,in,26.0,76,60.0,67.0,0.0,2.0
6518,ereymentau,kz,51.0,74,17.0,82.0,88.0,16.0
1680,bolobo,cd,-3.0,16,71.0,100.0,76.0,2.0
546,barbosa ferraz,br,-24.0,-52,78.0,65.0,0.0,2.0
4143,busayra,jo,31.0,36,43.0,91.0,0.0,1.0
4398,gadsden,us,34.0,-86,52.0,100.0,90.0,11.0
3941,rosarito,mx,29.0,-121,71.0,100.0,75.0,2.0
7075,magistralnyy,ru,55.0,107,12.0,46.0,36.0,8.0
7303,mamakan,ru,57.0,114,3.0,74.0,68.0,2.0
2574,distraccion,co,11.0,-73,71.0,87.0,20.0,1.0
7544,krasnovishersk,ru,60.0,57,16.0,87.0,88.0,10.0
4070,mailsi,pk,30.0,72,57.0,87.0,0.0,2.0
6814,karatuzskoye,ru,53.0,93,15.0,68.0,56.0,10.0
29,dunedin,nz,-60.0,179,50.0,96.0,92.0,10.0
7155,krasnyy oktyabr,ru,56.0,65,20.0,89.0,76.0,7.0
1784,fougamou,ga,-1.0,11,72.0,99.0,92.0,2.0
1487,kilimatinde,tz,-6.0,35,60.0,89.0,0.0,4.0
4348,manali,in,33.0,77,-16.0,27.0,0.0,1.0
2665,canchungo,gw,12.0,-16,74.0,64.0,68.0,8.0
3851,pingxiang,cn,27.0,114,63.0,74.0,0.0,3.0
5413,kemin,kg,42.0,76,-3.0,40.0,24.0,1.0
6102,saint-andre-les-vergers,fr,48.0,4,42.0,100.0,75.0,2.0
7930,ust-kuyga,ru,69.0,135,-34.0,0.0,48.0,3.0
5574,sheridan,us,44.0,-107,24.0,59.0,20.0,8.0
6561,tymovskoye,ru,51.0,143,17.0,68.0,32.0,3.0
2200,beruwala,lk,6.0,79,80.0,100.0,8.0,8.0
4411,birin,dz,34.0,4,46.0,92.0,36.0,5.0
1362,kaniama,cd,-8.0,24,67.0,95.0,92.0,2.0
3208,sabancuy,mx,19.0,-91,83.0,86.0,0.0,8.0
4589,mori,jp,35.0,138,62.0,61.0,68.0,4.0
7260,yelovo,ru,57.0,55,22.0,93.0,76.0,5.0
4048,surt,ly,30.0,18,63.0,100.0,0.0,6.0
4492,las vegas,us,35.0,-105,50.0,18.0,40.0,9.0
7490,pangnirtung,ca,60.0,-62,21.0,92.0,92.0,5.0
1257,aripuana,br,-10.0,-61,75.0,94.0,48.0,2.0
1891,kamuli,ug,1.0,33,62.0,97.0,0.0,3.0
7749,namtsy,ru,63.0,129,-27.0,84.0,12.0,0.0
7534,kichmengskiy gorodok,ru,60.0,46,24.0,87.0,88.0,8.0
4118,hattiesburg,us,31.0,-89,65.0,100.0,1.0,8.0
7131,krasnyy bogatyr,ru,56.0,41,21.0,89.0,68.0,7.0
827,capinota,bo,-18.0,-66,66.0,52.0,40.0,12.0
7083,magadan,ru,55.0,150,12.0,78.0,40.0,6.0
7206,portree,gb,57.0,-8,40.0,100.0,0.0,14.0
7309,anchorage,us,58.0,-148,36.0,100.0,75.0,4.0
5496,ortona,it,43.0,15,50.0,100.0,24.0,4.0
3098,dabhol,in,17.0,71,81.0,88.0,0.0,4.0
6708,hinton,ca,53.0,-117,12.0,73.0,0.0,2.0
557,letlhakeng,bw,-24.0,25,69.0,57.0,36.0,3.0
2106,boali,cf,5.0,18,71.0,94.0,0.0,2.0
5882,varias,ro,46.0,21,49.0,93.0,92.0,8.0
654,mackay,au,-22.0,149,23.0,100.0,5.0,2.0
7911,stokmarknes,no,69.0,15,36.0,100.0,68.0,19.0
